[Mon Mar 14 01:33:08.500432 2016] [:error] [pid 1210] [client 127.0.0.1:32931] PHP Fatal error:  Call to undefined function dpm() in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 20
[Mon Mar 14 01:33:09.933653 2016] [:error] [pid 1182] [client 127.0.0.1:32932] PHP Fatal error:  Call to undefined function dpm() in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 20
[Mon Mar 14 01:33:10.588846 2016] [:error] [pid 1734] [client 127.0.0.1:32933] PHP Fatal error:  Call to undefined function dpm() in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 20
[Mon Mar 14 01:51:45.248232 2016] [:error] [pid 1161] [client 127.0.0.1:33163] PHP Fatal error:  Cannot pass parameter 1 by reference in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 21
[Mon Mar 14 01:51:46.286686 2016] [:error] [pid 1460] [client 127.0.0.1:33164] PHP Fatal error:  Cannot pass parameter 1 by reference in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 21
[Mon Mar 14 01:51:47.482842 2016] [:error] [pid 1085] [client 127.0.0.1:33165] PHP Fatal error:  Cannot pass parameter 1 by reference in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 21
[Mon Mar 14 01:52:47.704109 2016] [:error] [pid 2289] [client 127.0.0.1:33170] PHP Fatal error:  Only variables can be passed by reference in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 21
[Mon Mar 14 01:52:48.344673 2016] [:error] [pid 1443] [client 127.0.0.1:33171] PHP Fatal error:  Cannot pass parameter 1 by reference in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 21
[Mon Mar 14 01:52:48.711709 2016] [:error] [pid 991] [client 127.0.0.1:33172] PHP Fatal error:  Cannot pass parameter 1 by reference in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 21
[Mon Mar 14 02:05:12.459108 2016] [:error] [pid 3008] [client 127.0.0.1:33313] PHP Parse error:  syntax error, unexpected '$line_item' (T_VARIABLE) in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 21
[Mon Mar 14 02:05:12.702014 2016] [:error] [pid 3264] [client 127.0.0.1:33314] PHP Parse error:  syntax error, unexpected '$line_item' (T_VARIABLE) in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 21
[Mon Mar 14 02:05:13.007787 2016] [:error] [pid 3264] [client 127.0.0.1:33314] PHP Parse error:  syntax error, unexpected '$line_item' (T_VARIABLE) in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 21
[Mon Mar 14 02:05:13.059755 2016] [:error] [pid 873] [client 127.0.0.1:33315] PHP Parse error:  syntax error, unexpected '$line_item' (T_VARIABLE) in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 21
[Mon Mar 14 02:05:13.673587 2016] [:error] [pid 873] [client 127.0.0.1:33315] PHP Parse error:  syntax error, unexpected '$line_item' (T_VARIABLE) in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 21
[Mon Mar 14 02:05:14.259626 2016] [:error] [pid 893] [client 127.0.0.1:33316] PHP Parse error:  syntax error, unexpected '$line_item' (T_VARIABLE) in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 21
[Mon Mar 14 03:46:58.189136 2016] [:error] [pid 6776] [client 127.0.0.1:34603] PHP Parse error:  syntax error, unexpected ',' in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 17, referer: http://3cvit.loc/admin/structure/views/view/commerce_cart_form/edit/default?destination=cart
[Mon Mar 14 03:47:00.875691 2016] [:error] [pid 5757] [client 127.0.0.1:34604] PHP Parse error:  syntax error, unexpected ',' in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 17
[Mon Mar 14 03:47:02.958224 2016] [:error] [pid 5517] [client 127.0.0.1:34605] PHP Parse error:  syntax error, unexpected ',' in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 17
[Mon Mar 14 03:47:03.954228 2016] [:error] [pid 6471] [client 127.0.0.1:34606] PHP Parse error:  syntax error, unexpected ',' in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 17, referer: http://3cvit.loc/cart
[Mon Mar 14 03:47:05.365934 2016] [:error] [pid 5462] [client 127.0.0.1:34608] PHP Parse error:  syntax error, unexpected ',' in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 17, referer: http://3cvit.loc/cart
[Mon Mar 14 03:47:05.365987 2016] [:error] [pid 6412] [client 127.0.0.1:34607] PHP Parse error:  syntax error, unexpected ',' in /var/www/3cvit/sites/all/modules/custom/threecvit_option/threecvit_option.module on line 17, referer: http://3cvit.loc/cart
